n,package,join_type,name,value
500,fuzzyjoin,Jaccard Distance,time,4.4621757295
500,fuzzyjoin,Jaccard Distance,memory,9.076656
750,fuzzyjoin,Jaccard Distance,time,13.111347157
750,fuzzyjoin,Jaccard Distance,memory,19.537008
1000,fuzzyjoin,Jaccard Distance,time,27.7543924095
1000,fuzzyjoin,Jaccard Distance,memory,34.03384
1250,fuzzyjoin,Jaccard Distance,time,49.4128623375
1250,fuzzyjoin,Jaccard Distance,memory,52.514232
1500,fuzzyjoin,Jaccard Distance,time,71.743113331
1500,fuzzyjoin,Jaccard Distance,memory,74.982512
1750,fuzzyjoin,Jaccard Distance,time,63.576525759
1750,fuzzyjoin,Jaccard Distance,memory,101.58188
2000,fuzzyjoin,Jaccard Distance,time,151.152116355
2000,fuzzyjoin,Jaccard Distance,memory,132.053176
2250,fuzzyjoin,Jaccard Distance,time,205.626424964
2250,fuzzyjoin,Jaccard Distance,memory,166.56216
2500,fuzzyjoin,Jaccard Distance,time,272.9867418535
2500,fuzzyjoin,Jaccard Distance,memory,205.104824
2750,fuzzyjoin,Jaccard Distance,time,353.189422336
2750,fuzzyjoin,Jaccard Distance,memory,247.590264
3000,fuzzyjoin,Jaccard Distance,time,455.7806696375
3000,fuzzyjoin,Jaccard Distance,memory,294.122936
3250,fuzzyjoin,Jaccard Distance,time,571.538211024
3250,fuzzyjoin,Jaccard Distance,memory,344.927216
3500,fuzzyjoin,Jaccard Distance,time,382.711033595
3500,fuzzyjoin,Jaccard Distance,memory,399.45912
3750,fuzzyjoin,Jaccard Distance,time,893.49634359
3750,fuzzyjoin,Jaccard Distance,memory,457.983856
4000,fuzzyjoin,Jaccard Distance,time,1129.420434431
4000,fuzzyjoin,Jaccard Distance,memory,520.50008
500,zoomerjoin,Jaccard Distance,time,0.0755254925
500,zoomerjoin,Jaccard Distance,memory,0.054992
750,zoomerjoin,Jaccard Distance,time,0.109249779
750,zoomerjoin,Jaccard Distance,memory,0.101376
1000,zoomerjoin,Jaccard Distance,time,0.1406441715
1000,zoomerjoin,Jaccard Distance,memory,0.127376
1250,zoomerjoin,Jaccard Distance,time,0.1717006365
1250,zoomerjoin,Jaccard Distance,memory,0.16976
1500,zoomerjoin,Jaccard Distance,time,0.199692082
1500,zoomerjoin,Jaccard Distance,memory,0.19576
1750,zoomerjoin,Jaccard Distance,time,0.23408045
1750,zoomerjoin,Jaccard Distance,memory,0.22176
2000,zoomerjoin,Jaccard Distance,time,0.2680926995
2000,zoomerjoin,Jaccard Distance,memory,0.24776
2250,zoomerjoin,Jaccard Distance,time,0.301640879
2250,zoomerjoin,Jaccard Distance,memory,0.306736
2500,zoomerjoin,Jaccard Distance,time,0.329509431
2500,zoomerjoin,Jaccard Distance,memory,0.332832
2750,zoomerjoin,Jaccard Distance,time,0.3564627715
2750,zoomerjoin,Jaccard Distance,memory,0.361888
3000,zoomerjoin,Jaccard Distance,time,0.387200688
3000,zoomerjoin,Jaccard Distance,memory,0.388112
3250,zoomerjoin,Jaccard Distance,time,0.414520561
3250,zoomerjoin,Jaccard Distance,memory,0.414672
3500,zoomerjoin,Jaccard Distance,time,0.444639695
3500,zoomerjoin,Jaccard Distance,memory,0.441712
3750,zoomerjoin,Jaccard Distance,time,0.4744338925
3750,zoomerjoin,Jaccard Distance,memory,0.470944
4000,zoomerjoin,Jaccard Distance,time,0.504902028
4000,zoomerjoin,Jaccard Distance,memory,0.497136
